1117,f,C,"",R,P,"",federal:house,federal:house,I,W
1117,f,C,"",R,P,"",federal:house,federal:house,I,W
1117,f,C,"",R,P,"",federal:house,federal:house,I,W
1117,f,C,"",D,P,"",federal:house,federal:house,I,W
1117,f,C,"",D,P,"",federal:senate,federal:senate,I,W
1117,f,C,"",R,P,"",federal:house,federal:house,I,W
1117,f,C,"",R,P,"",federal:senate,"",O,W
1117,f,C,"",R,P,"",federal:house,federal:house,I,W
1117,f,C,"",R,P,"",federal:house,federal:house,I,W
1117,f,C,"",R,P,"",federal:house,federal:house,I,W
1117,f,C,"",D,P,"",federal:house,"",C,L
1117,f,C,"",D,P,"",federal:house,federal:house,I,W
1117,f,C,"",D,P,"",federal:senate,federal:senate,I,W
1117,f,C,"",R,P,"",federal:house,federal:house,I,W
1116,f,I,M,D,C,D,"","","",""
1116,f,I,F,"",C,"","","","",""
1116,f,I,F,R,P,R,federal:house,federal:house,I,W
1116,f,I,F,"",C,"","","","",""
1116,f,I,M,R,P,R,federal:house,"",O,W
1116,f,I,F,"",C,"","","","",""
1116,f,I,F,"",C,"","","","",""
1116,f,I,M,"",C,"","","","",""
1116,f,I,M,"",C,"","","","",""
1116,f,I,M,"",C,"","","","",""
1116,f,I,M,"",C,"","","","",""
1116,f,I,F,"",C,"","","","",""
1116,f,I,M,"",C,"","","","",""
1116,f,I,F,"",C,"","","","",""
1116,f,I,M,"",C,"","","","",""
1116,f,I,M,D,P,D,federal:house,"",C,L
1116,f,I,M,"",C,"","","","",""
1116,f,I,M,"",C,"","","","",""
1116,f,I,M,"",C,"","","","",""
1116,f,I,M,"",C,"","","","",""
1116,f,I,M,"",C,"","","","",""
1116,f,I,M,"",C,"","","","",""
1116,f,I,F,"",C,"","","","",""
1116,f,I,F,"",C,"","","","",""
1116,f,I,M,"",C,"","","","",""
1116,f,I,M,"",C,"","","","",""
1116,f,I,M,"",C,"","","","",""
1116,f,I,M,R,P,R,federal:house,"",C,L
1116,f,I,F,R,P,R,federal:house,federal:house,I,W
1116,f,I,M,"",C,"","","","",""
1116,f,I,F,"",C,"","","","",""
1116,f,I,F,"",C,"","","","",""
1116,f,I,M,"",C,"","","","",""
